,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
380,1949,0.0,0.2300000042,0.349999994,0.7300000191,0.0,3,6,27,1404,0,1794
387,569,0.0,0.0,0.0,0.3400000036,0.0,0,0,27,1368,0,1799
389,430,0.0,0.0,0.0,0.2599999905,0.0,0,0,14,75,0,625
400,290,0.0,0.0,0.0,0.2099999934,0.0,0,0,16,599,0,791
401,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1429
402,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1429
403,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1429
404,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1429
405,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1429
406,1931,0.0,0.0,0.0,1.2799999714,0.0,0,0,94,1346,0,1607
410,2545,0.0,0.0,0.0,1.6699999571,0.0199999996,0,0,126,1314,0,1657
411,1636,0.0,0.0,0.0,1.0800000429,0.0,0,0,86,1139,0,1377
412,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,0
414,3358,0.0,0.0,0.0,2.6600000858,0.0,0,0,144,657,0,2702
